issn,title,sjr_quartile,sjr_score
1935-5734,International Journal of Information Systems and Supply Chain Management,Q3,0.249
1935-5688,International Journal of Information Systems in the Service Sector,Q3,0.235
1935-5696,International Journal of Information Systems in the Service Sector,Q3,0.235
1938-0232,International Journal of Information Technology Project Management,Q3,0.18
1938-0240,International Journal of Information Technology Project Management,Q3,0.18
1756-7017,International Journal of Information and Decision Sciences,Q4,0.162
1756-7025,International Journal of Information and Decision Sciences,Q4,0.162
1017-1819,International Journal of Information and Management Sciences,Q4,0.131
2318-9975,International Journal of Innovation,Q4,0.122
1757-5877,International Journal of Innovation Management,Q2,0.432
1363-9196,International Journal of Innovation Management,Q2,0.432
1757-2223,International Journal of Innovation Science,Q1,0.691
1757-2231,International Journal of Innovation Science,Q1,0.691
2096-2487,International Journal of Innovation Studies,Q1,1.007
2589-2975,International Journal of Innovation Studies,Q1,1.007
1471-8197,International Journal of Innovation and Learning,Q3,0.227
1741-8089,International Journal of Innovation and Learning,Q3,0.227
1740-8822,International Journal of Innovation and Sustainable Development,Q4,0.189
1740-8830,International Journal of Innovation and Sustainable Development,Q4,0.189
1793-6950,International Journal of Innovation and Technology Management,Q3,0.391
0219-8770,International Journal of Innovation and Technology Management,Q3,0.391
2399-830X,International Journal of Instructional Cases,Q3,0.257
1477-5360,International Journal of Integrated Supply Management,Q3,0.374
1741-8097,International Journal of Integrated Supply Management,Q3,0.374
1478-9647,International Journal of Intellectual Property Management,Q2,0.286
1478-9655,International Journal of Intellectual Property Management,Q2,0.286
1745-3232,International Journal of Intelligent Enterprise,Q4,0.166
1745-3240,International Journal of Intelligent Enterprise,Q4,0.166
0147-1767,International Journal of Intercultural Relations,Q1,1.047
2324-7649,International Journal of Interdisciplinary Organizational Studies,Q4,0.146
2324-7657,International Journal of Interdisciplinary Organizational Studies,Q4,0.146
1477-5212,International Journal of Internet Marketing and Advertising,Q3,0.454
1741-8100,International Journal of Internet Marketing and Advertising,Q3,0.454
1753-8394,International Journal of Islamic and Middle Eastern Finance and Management,Q2,0.525
1753-8408,International Journal of Islamic and Middle Eastern Finance and Management,Q2,0.525
1548-0666,International Journal of Knowledge Management,Q2,0.404
1548-0658,International Journal of Knowledge Management,Q2,0.404
1743-8276,International Journal of Knowledge Management Studies,Q3,0.24
1743-8268,International Journal of Knowledge Management Studies,Q3,0.24
1947-8216,International Journal of Knowledge and Systems Science,Q4,0.184
1947-8208,International Journal of Knowledge and Systems Science,Q4,0.184
2040-4476,International Journal of Knowledge-Based Development,Q4,0.146
2040-4468,International Journal of Knowledge-Based Development,Q4,0.146
1754-243X,International Journal of Law and Management,Q2,0.382
1754-2448,International Journal of Law and Management,Q2,0.382
1360-3124,International Journal of Leadership in Education,Q1,0.809
1464-5092,International Journal of Leadership in Education,Q1,0.809
2040-4166,International Journal of Lean Six Sigma,Q1,0.755
2040-4174,International Journal of Lean Six Sigma,Q1,0.755
1740-2875,International Journal of Learning and Change,Q4,0.205
1740-2883,International Journal of Learning and Change,Q4,0.205
1479-4861,International Journal of Learning and Intellectual Capital,Q3,0.258
1479-4853,International Journal of Learning and Intellectual Capital,Q3,0.258
1758-6550,International Journal of Logistics Management,Q1,1.792
0957-4093,International Journal of Logistics Management,Q1,1.792
1367-5567,International Journal of Logistics Research and Applications,Q1,1.452
1469-848X,International Journal of Logistics Research and Applications,Q1,1.452
1742-7975,International Journal of Logistics Systems and Management,Q3,0.241
1742-7967,International Journal of Logistics Systems and Management,Q3,0.241
1472-8117,International Journal of Management Education,Q1,1.741
1741-8143,International Journal of Management Practice,Q4,0.225
1477-9064,International Journal of Management Practice,Q4,0.225
1460-8545,International Journal of Management Reviews,Q1,4.054
1468-2370,International Journal of Management Reviews,Q1,4.054
1750-9653,International Journal of Management Science and Engineering Management,Q1,0.776
1750-9661,International Journal of Management Science and Engineering Management,Q1,0.776
1741-8127,International Journal of Management and Enterprise Development,Q4,0.172
1468-4330,International Journal of Management and Enterprise Development,Q4,0.172
2306-9856,International Journal of Management and Sustainability,Q4,0.185
2306-0662,International Journal of Management and Sustainability,Q4,0.185
1750-3868,International Journal of Management in Education,Q3,0.22
1750-385X,International Journal of Management in Education,Q3,0.22
1743-9132,International Journal of Managerial Finance,Q2,0.526
1753-6715,International Journal of Managerial and Financial Accounting,Q3,0.396
1753-6723,International Journal of Managerial and Financial Accounting,Q3,0.396
1753-8378,International Journal of Managing Projects in Business,Q2,0.68
1753-8386,International Journal of Managing Projects in Business,Q2,0.68
0143-7720,International Journal of Manpower,Q1,1.411
1368-2148,International Journal of Manufacturing Technology and Management,Q4,0.137
1741-5195,International Journal of Manufacturing Technology and Management,Q4,0.137
2515-2173,International Journal of Market Research,Q2,0.88
1470-7853,International Journal of Market Research,Q2,0.88
2195-2280,International Journal of Marketing Semiotics and Discourse Studies,Q4,0.115
2455-7749,"International Journal of Mathematical, Engineering and Management Sciences",Q2,0.351
1748-0949,"International Journal of Mining, Reclamation and Environment",Q2,0.573
1748-0930,"International Journal of Mining, Reclamation and Environment",Q2,0.573
1744-2869,International Journal of Mobile Network Design and Innovation,Q4,0.113
1744-2850,International Journal of Mobile Network Design and Innovation,Q4,0.113
2040-1078,International Journal of Multicriteria Decision Making,Q4,0.166
2040-106X,International Journal of Multicriteria Decision Making,Q4,0.166
1470-9503,International Journal of Networking and Virtual Organisations,Q4,0.184
1741-5225,International Journal of Networking and Virtual Organisations,Q4,0.184
1947-9328,International Journal of Operations Research and Information Systems,Q4,0.19
1947-9336,International Journal of Operations Research and Information Systems,Q4,0.19
1758-6593,International Journal of Operations and Production Management,Q1,2.876
0144-3577,International Journal of Operations and Production Management,Q1,2.876
1082-1910,International Journal of Operations and Quantitative Management,Q3,0.267
1093-4537,International Journal of Organization Theory and Behavior,Q2,0.442
1934-8835,International Journal of Organizational Analysis,Q2,0.869
2328-6261,International Journal of Organizational Diversity,Q3,0.119
2328-6229,International Journal of Organizational Diversity,Q3,0.119
1750-6123,International Journal of Pharmaceutical and Healthcare Marketing,Q3,0.32
0960-0035,International Journal of Physical Distribution and Logistics Management,Q1,1.821
2198-0810,International Journal of Precision Engineering and Manufacturing - Green Technology,Q1,1.072
2288-6206,International Journal of Precision Engineering and Manufacturing - Green Technology,Q1,1.072
1460-6739,International Journal of Process Management and Benchmarking,Q4,0.206
1741-816X,International Journal of Process Management and Benchmarking,Q4,0.206
1753-8432,International Journal of Procurement Management,Q3,0.222
1753-8440,International Journal of Procurement Management,Q3,0.222
1477-9056,International Journal of Product Development,Q4,0.125
1741-8178,International Journal of Product Development,Q4,0.125
1743-5110,International Journal of Product Lifecycle Management,Q3,0.219
1743-5129,International Journal of Product Lifecycle Management,Q3,0.219
0925-5273,International Journal of Production Economics,Q1,2.833
2340-4876,International Journal of Production Management and Engineering,Q2,0.411
2340-5317,International Journal of Production Management and Engineering,Q2,0.411
0020-7543,International Journal of Production Research,Q1,2.242
1366-588X,International Journal of Production Research,Q1,2.242
1741-0401,International Journal of Productivity and Performance Management,Q1,0.954
1746-6474,International Journal of Productivity and Quality Management,Q3,0.223
1746-6482,International Journal of Productivity and Quality Management,Q3,0.223
0263-7863,International Journal of Project Management,Q1,1.87
1740-2905,International Journal of Project Organisation and Management,Q4,0.161
1740-2891,International Journal of Project Organisation and Management,Q4,0.161
1532-4265,International Journal of Public Administration,Q2,0.725
0190-0692,International Journal of Public Administration,Q2,0.725
2312-6515,International Journal of Public Policy and Administration Research,Q4,0.146
2313-0423,International Journal of Public Policy and Administration Research,Q4,0.146
1741-1041,International Journal of Public Sector Performance Management,Q4,0.195
1741-105X,International Journal of Public Sector Performance Management,Q4,0.195
0265-671X,International Journal of Quality and Reliability Management,Q2,0.631
1756-669X,International Journal of Quality and Service Sciences,Q1,0.783
1756-6703,International Journal of Quality and Service Sciences,Q1,0.783
1754-5749,International Journal of RF Technologies: Research and Applications,Q4,0.136
1754-5730,International Journal of RF Technologies: Research and Applications,Q4,0.136
2009-7379,International Journal of Religious Tourism and Pilgrimage,Q1,0.291
0167-8116,International Journal of Research in Marketing,Q1,3.869
0959-0552,International Journal of Retail and Distribution Management,Q1,1.332
1474-7332,International Journal of Revenue Management,Q4,0.173
1741-8186,International Journal of Revenue Management,Q4,0.173
1466-8297,International Journal of Risk Assessment and Management,Q4,0.117
1741-5241,International Journal of Risk Assessment and Management,Q4,0.117
0973-0680,International Journal of Rural Management,Q3,0.275
0973-0052,International Journal of Rural Management,Q3,0.275
1468-2389,International Journal of Selection and Assessment,Q1,1.34
0965-075X,International Journal of Selection and Assessment,Q1,1.34
1947-9603,"International Journal of Service Science, Management, Engineering, and Technology",Q2,0.31
1947-959X,"International Journal of Service Science, Management, Engineering, and Technology",Q2,0.31
1741-539X,International Journal of Services Operations and Informatics,Q4,0.171
1741-5403,International Journal of Services Operations and Informatics,Q4,0.171
1744-2370,International Journal of Services and Operations Management,Q3,0.227
1744-2389,International Journal of Services and Operations Management,Q3,0.227
1740-8857,International Journal of Services and Standards,Q4,0.119
1740-8849,International Journal of Services and Standards,Q4,0.119
1753-0822,"International Journal of Services, Economics and Management",Q4,0.214
1753-0830,"International Journal of Services, Economics and Management",Q4,0.214
1460-6720,"International Journal of Services, Technology and Management",Q4,0.153
1741-525X,"International Journal of Services, Technology and Management",Q4,0.153
1756-6517,International Journal of Shipping and Transport Logistics,Q3,0.356
1756-6525,International Journal of Shipping and Transport Logistics,Q3,0.356
1479-2753,International Journal of Six Sigma and Competitive Advantage,Q2,0.365
1479-2494,International Journal of Six Sigma and Competitive Advantage,Q2,0.365
2472-1743,International Journal of Spa and Wellness,Q3,0.379
1936-3907,International Journal of Sport Communication,Q2,0.5
1936-3915,International Journal of Sport Communication,Q2,0.5
1558-6235,International Journal of Sport Finance,Q3,0.391
1930-076X,International Journal of Sport Finance,Q3,0.391
1475-8962,International Journal of Sport Management and Marketing,Q4,0.217
1740-2808,International Journal of Sport Management and Marketing,Q4,0.217
1940-6940,International Journal of Sport Policy and Politics,Q1,0.941
1940-6959,International Journal of Sport Policy and Politics,Q1,0.941
1464-6668,International Journal of Sports Marketing and Sponsorship,Q2,0.757
2470-8550,International Journal of Standardization Research,Q4,0.11
2470-8542,International Journal of Standardization Research,Q4,0.11
1740-2859,International Journal of Strategic Change Management,Q4,0.126
1740-2867,International Journal of Strategic Change Management,Q4,0.126
1648-715X,International Journal of Strategic Property Management,Q3,0.341
1648-9179,International Journal of Strategic Property Management,Q3,0.341
1072-5245,International Journal of Stress Management,Q1,0.963
1573-3424,International Journal of Stress Management,Q1,0.963
2383-1359,International Journal of Supply and Operations Management,Q3,0.322
2383-2525,International Journal of Supply and Operations Management,Q3,0.322
2054-5827,International Journal of Sustainable Agricultural Management and Informatics,Q3,0.241
2054-5819,International Journal of Sustainable Agricultural Management and Informatics,Q3,0.241
1756-5812,International Journal of Sustainable Economy,Q3,0.267
1756-5804,International Journal of Sustainable Economy,Q3,0.267
1742-7223,International Journal of Sustainable Manufacturing,Q3,0.194
1742-7231,International Journal of Sustainable Manufacturing,Q3,0.194
0976-4348,International Journal of System Assurance Engineering and Management,Q2,0.377
0975-6809,International Journal of System Assurance Engineering and Management,Q2,0.377
2077-8767,International Journal of Systematic Innovation,Q4,0.141
2077-7973,International Journal of Systematic Innovation,Q4,0.141
2330-2674,International Journal of Systems Science: Operations and Logistics,Q2,0.755
2330-2682,International Journal of Systems Science: Operations and Logistics,Q2,0.755
1746-5370,International Journal of Technoentrepreneurship,Q4,0.172
1746-5389,International Journal of Technoentrepreneurship,Q4,0.172
1753-1942,"International Journal of Technological Learning, Innovation and Development",Q3,0.227
1753-1950,"International Journal of Technological Learning, Innovation and Development",Q3,0.227
2086-9614,International Journal of Technology,Q2,0.354
2087-2100,International Journal of Technology,Q2,0.354
1740-2832,International Journal of Technology Intelligence and Planning,Q3,0.296
1740-2840,International Journal of Technology Intelligence and Planning,Q3,0.296
1741-5276,International Journal of Technology Management,Q2,0.388
0267-5730,International Journal of Technology Management,Q2,0.388
1474-2748,International Journal of Technology Management and Sustainable Development,Q4,0.136
2040-0551,International Journal of Technology Management and Sustainable Development,Q4,0.136
1741-8798,International Journal of Technology Marketing,Q3,0.247
1741-878X,International Journal of Technology Marketing,Q3,0.247
1741-5292,"International Journal of Technology, Policy and Management",Q3,0.23
1468-4322,"International Journal of Technology, Policy and Management",Q3,0.23
1759-0450,International Journal of Tourism Anthropology,Q2,0.354
1759-0442,International Journal of Tourism Anthropology,Q2,0.354
2056-5615,International Journal of Tourism Cities,Q1,0.681
2056-5607,International Journal of Tourism Cities,Q1,0.681
1750-4090,International Journal of Tourism Policy,Q4,0.224
1750-4104,International Journal of Tourism Policy,Q4,0.224
1099-2340,International Journal of Tourism Research,Q1,1.355
1522-1970,International Journal of Tourism Research,Q1,1.355
1742-755X,International Journal of Trade and Global Markets,Q3,0.183
1742-7541,International Journal of Trade and Global Markets,Q3,0.183
1468-2419,International Journal of Training and Development,Q2,0.518
1360-3736,International Journal of Training and Development,Q2,0.518
1741-5365,International Journal of Value Chain Management,Q4,0.201
1741-5357,International Journal of Value Chain Management,Q4,0.201
1751-1070,International Journal of Wine Business Research,Q2,0.633
1751-1062,International Journal of Wine Business Research,Q2,0.633
2043-9032,International Journal of Work Innovation,Q3,0.235
2043-9040,International Journal of Work Innovation,Q3,0.235
1740-8946,International Journal of Work Organisation and Emotion,Q4,0.204
1740-8938,International Journal of Work Organisation and Emotion,Q4,0.204
1753-8351,International Journal of Workplace Health Management,Q2,0.78
1753-836X,International Journal of Workplace Health Management,Q2,0.78
1548-114X,International Journal of e-Business Research,Q2,0.394
1548-1131,International Journal of e-Business Research,Q2,0.394
2146-0744,International Journal of eBusiness and eGovernment Studies,Q3,0.215
1466-1829,International Journal of the Economics of Business,Q2,0.468
1357-1516,International Journal of the Economics of Business,Q2,0.468
0969-5958,International Journal of the Legal Profession,Q2,0.25
1469-9257,International Journal of the Legal Profession,Q2,0.25
1869-6945,International Journal on Food System Dynamics,Q3,0.241
1471-6445,International Labor and Working-Class History,Q2,0.185
0147-5479,International Labor and Working-Class History,Q2,0.185
0020-7780,International Labour Review,Q2,0.728
1564-913X,International Labour Review,Q2,0.728
2974-3141,International Maritime Transport and Logistics Conference,-,0.125
2974-3133,International Maritime Transport and Logistics Conference,-,0.125
0265-1335,International Marketing Review,Q1,1.306
1531-5088,International Organization,Q1,4.977
0020-8183,International Organization,Q1,4.977
1559-3169,International Public Management Journal,Q1,1.174
1096-7494,International Public Management Journal,Q1,1.174
2154-8919,International Real Estate Review,Q4,0.146
1932-1465,International Review of Environmental and Resource Economics,Q3,0.445
1932-1473,International Review of Environmental and Resource Economics,Q3,0.445
2146-4405,International Review of Management and Marketing,-,
0959-3969,"International Review of Retail, Distribution and Consumer Research",Q2,0.735
1466-4402,"International Review of Retail, Distribution and Consumer Research",Q2,0.735
1865-1992,International Review on Public and Nonprofit Marketing,Q2,0.613
1865-1984,International Review on Public and Nonprofit Marketing,Q2,0.613
0266-2426,International Small Business Journal,Q1,1.956
0020-8825,International Studies of Management and Organization,Q3,0.368
1558-0911,International Studies of Management and Organization,Q3,0.368
1573-6970,International Tax and Public Finance,Q2,0.602
0927-5940,International Tax and Public Finance,Q2,0.602
0885-3908,International Trade Journal,Q3,0.268
1521-0545,International Trade Journal,Q3,0.268
0969-6016,International Transactions in Operational Research,Q1,0.993
1475-3995,International Transactions in Operational Research,Q1,0.993
2542-6605,Internet of Things (The Netherlands),Q1,1.527
1875-8347,Intertax,Q1,0.493
0165-2826,Intertax,Q1,0.493
2174-5609,Investigaciones Turisticas,Q3,0.265
2077-0227,Investment Analysts Journal,Q3,0.321
1029-3523,Investment Analysts Journal,Q3,0.321
1810-4967,Investment Management and Financial Innovations,Q3,0.227
1812-9358,Investment Management and Financial Innovations,Q3,0.227
0739-3172,Issues in Accounting Education,Q2,0.634
1558-7983,Issues in Accounting Education,Q2,0.634
1529-7314,Issues in Information Systems,Q4,0.158
2662-3323,Italian Journal of Marketing,Q2,0.71
2662-3331,Italian Journal of Marketing,Q2,0.71
0021-3497,"Izvestiya Vysshikh Uchebnykh Zavedenii, Seriya Teknologiya Tekstil'noi Promyshlennosti",Q3,0.224
1424-1250,JMM International Journal on Media Management,Q3,0.268
1424-1277,JMM International Journal on Media Management,Q3,0.268
2366-049X,Jahrbucher fur Nationalokonomie und Statistik,Q2,0.451
0021-4027,Jahrbucher fur Nationalokonomie und Statistik,Q2,0.451
1815-8633,Jordan Journal of Business Administration,Q3,0.224
2308-6149,Jordan Journal of Business Administration,Q3,0.224
1988-7116,"Journal Globalization, Competitiveness and Governability",Q4,0.161
2528-9705,Journal Of Organizational Behavior Research,Q4,0.104
1537-5137,Journal for Advancement of Marketing Education,Q4,0.16
2326-3296,Journal for Advancement of Marketing Education,Q4,0.16
1746-9678,Journal for Global Business Advancement,Q4,0.165
1746-966X,Journal for Global Business Advancement,Q4,0.165
1747-6763,Journal for International Business and Entrepreneurship Development,Q2,0.285
1549-9324,Journal for International Business and Entrepreneurship Development,Q2,0.285
2510-5027,Journal for Labour Market Research,Q2,0.545
2510-5019,Journal for Labour Market Research,Q2,0.545
0267-7806,"Journal for Weavers, Spinners and Dyers",Q4,0.1
0748-5751,Journal of Accounting Education,Q2,0.437
0737-4607,Journal of Accounting Literature,Q3,0.285
1475-679X,Journal of Accounting Research,Q1,8.396
0021-8456,Journal of Accounting Research,Q1,8.396
1018-1687,Journal of Accounting Review,Q4,0.125
0165-4101,Journal of Accounting and Economics,Q1,7.505
1832-5912,Journal of Accounting and Organizational Change,Q1,0.699
1873-2070,Journal of Accounting and Public Policy,Q1,1.081
0278-4254,Journal of Accounting and Public Policy,Q1,1.081
2042-1168,Journal of Accounting in Emerging Economies,Q1,0.7
2042-1176,Journal of Accounting in Emerging Economies,Q1,0.7
0148-558X,"Journal of Accounting, Auditing and Finance",Q1,0.631
1793-6896,Journal of Advanced Manufacturing Systems,Q3,0.232
0219-6867,Journal of Advanced Manufacturing Systems,Q3,0.232
1985-3157,Journal of Advanced Manufacturing Technology,Q3,0.175
2289-8107,Journal of Advanced Manufacturing Technology,Q3,0.175
0197-6729,Journal of Advanced Transportation,Q2,0.579
2042-3195,Journal of Advanced Transportation,Q2,0.579
0972-7981,Journal of Advances in Management Research,Q2,0.526
2049-3207,Journal of Advances in Management Research,Q2,0.526
1557-7805,Journal of Advertising,Q1,4.455
0091-3367,Journal of Advertising,Q1,4.455
1098-0482,Journal of Advertising Education,Q3,0.235
2516-1873,Journal of Advertising Education,Q3,0.235
0021-8499,Journal of Advertising Research,Q1,0.825
1740-1909,Journal of Advertising Research,Q1,0.825
1542-0485,Journal of Agricultural and Food Industrial Organization,Q3,0.359
2194-5896,Journal of Agricultural and Food Industrial Organization,Q3,0.359
0969-6997,Journal of Air Transport Management,Q1,1.019
2380-9450,Journal of Air Transportation,Q2,0.419
1750-1946,Journal of Airport Management,Q4,0.132
1750-1938,Journal of Airport Management,Q4,0.132
0967-5426,Journal of Applied Accounting Research,Q1,0.925
0892-7626,Journal of Applied Business Research,Q4,0.131
2476-1362,Journal of Applied Communications,Q2,0.279
2590-4221,Journal of Applied Structural Equation Modeling,Q1,0.784
1063-2921,Journal of Arts Management Law and Society,Q1,0.365
1930-7799,Journal of Arts Management Law and Society,Q1,0.365
1559-2243,Journal of Asia Business Studies,Q1,0.701
1558-7894,Journal of Asia Business Studies,Q1,0.701
1528-6940,Journal of Asia-Pacific Business,Q3,0.377
1059-9231,Journal of Asia-Pacific Business,Q3,0.377
2515-964X,Journal of Asian Business and Economic Studies,Q1,0.664
1569-9838,Journal of Asian Pacific Communication,Q3,0.174
0957-6851,Journal of Asian Pacific Communication,Q3,0.174
1470-8272,Journal of Asset Management,Q2,0.478
1479-179X,Journal of Asset Management,Q2,0.478
1440-0405,Journal of Australian Taxation,Q4,0.104
2208-6773,Journal of Australian Taxation,Q4,0.104
0894-3257,Journal of Behavioral Decision Making,Q1,1.064
1099-0771,Journal of Behavioral Decision Making,Q1,1.064
2771-6511,Journal of Beta Investment Strategies,Q3,0.328
1479-1803,Journal of Brand Management,Q1,1.514
1350-231X,Journal of Brand Management,Q1,1.514
2045-855X,Journal of Brand Strategy,Q2,0.288
2045-8568,Journal of Brand Strategy,Q2,0.288
2573-234X,Journal of Business Analytics,Q2,0.382
2573-2358,Journal of Business Analytics,Q2,0.382
1749-9216,Journal of Business Continuity and Emergency Planning,Q4,0.165
1749-9224,Journal of Business Continuity and Emergency Planning,Q4,0.165
2509-7970,Journal of Business Cycle Research,Q2,0.455
2509-7962,Journal of Business Cycle Research,Q2,0.455
0044-2372,Journal of Business Economics,Q2,0.667
2029-4433,Journal of Business Economics and Management,Q2,0.592
1611-1699,Journal of Business Economics and Management,Q2,0.592
1573-0697,Journal of Business Ethics,Q1,3.039
0167-4544,Journal of Business Ethics,Q1,3.039
1649-5195,Journal of Business Ethics Education,Q4,0.108
2044-4559,Journal of Business Ethics Education,Q4,0.108
0306-686X,Journal of Business Finance and Accounting,Q1,1.263
1468-5957,Journal of Business Finance and Accounting,Q1,1.263
2158-1592,Journal of Business Logistics,Q1,2.768
0735-3766,Journal of Business Logistics,Q1,2.768
0148-2963,Journal of Business Research,Q1,3.499
0275-6668,Journal of Business Strategy,Q1,0.907
1932-9156,Journal of Business Valuation and Economic Loss Analysis,Q4,0.193
0883-9026,Journal of Business Venturing,Q1,6.234
2352-6734,Journal of Business Venturing Insights,Q1,1.873
1547-0644,Journal of Business and Finance Librarianship,Q2,0.396
0896-3568,Journal of Business and Finance Librarianship,Q2,0.396
0885-8624,Journal of Business and Industrial Marketing,Q1,1.039
1573-353X,Journal of Business and Psychology,Q1,2.313
0889-3268,Journal of Business and Psychology,Q1,2.313
2635-1374,Journal of Business and Socio-economic Development,Q2,0.78
2635-1692,Journal of Business and Socio-economic Development,Q2,0.78
1552-4574,Journal of Business and Technical Communication,Q1,1.047
1050-6519,Journal of Business and Technical Communication,Q1,1.047
1547-0628,Journal of Business-to-Business Marketing,Q2,0.546
1051-712X,Journal of Business-to-Business Marketing,Q2,0.546
1069-0727,Journal of Career Assessment,Q1,1.452
1552-4590,Journal of Career Assessment,Q1,1.452
0894-8453,Journal of Career Development,Q1,1.162
1573-3548,Journal of Career Development,Q1,1.162
1548-7717,Journal of Cases on Information Technology,Q3,0.294
1548-7725,Journal of Cases on Information Technology,Q3,0.294
1479-1811,Journal of Change Management,Q2,0.933
1469-7017,Journal of Change Management,Q2,0.933
1938-8160,Journal of China Tourism Research,Q1,0.558
1938-8179,Journal of China Tourism Research,Q1,0.558
1754-4416,Journal of Chinese Economic and Foreign Trade Studies,Q2,0.363
1754-4408,Journal of Chinese Economic and Foreign Trade Studies,Q2,0.363
2040-8013,Journal of Chinese Human Resources Management,Q3,0.417
2040-8005,Journal of Chinese Human Resources Management,Q3,0.417
2643-9107,Journal of Civil Engineering Education,Q2,0.646
2643-9115,Journal of Civil Engineering Education,Q2,0.646
1822-3605,Journal of Civil Engineering and Management,Q1,0.707
1392-3730,Journal of Civil Engineering and Management,Q1,0.707
0959-6526,Journal of Cleaner Production,Q1,2.174
1879-1786,Journal of Cleaner Production,Q1,2.174
2213-297X,Journal of Co-operative Organization and Management,Q2,0.749
1478-565X,Journal of Commercial Biotechnology,Q4,0.178
1462-8732,Journal of Commercial Biotechnology,Q4,0.178
1468-5965,Journal of Common Market Studies,Q1,1.635
0021-9886,Journal of Common Market Studies,Q1,1.635
1363-254X,Journal of Communication Management,Q1,0.676
1804-1728,Journal of Competitiveness,Q1,0.657
1804-171X,Journal of Competitiveness,Q1,0.657
0022-0027,Journal of Conflict Resolution,Q1,2.138
1943-7862,Journal of Construction Engineering and Management,Q1,1.113
0733-9364,Journal of Construction Engineering and Management,Q1,1.113
1823-6499,Journal of Construction in Developing Countries,Q1,0.335
2180-4222,Journal of Construction in Developing Countries,Q1,0.335
1469-5405,Journal of Consumer Culture,Q1,1.54
1741-2900,Journal of Consumer Culture,Q1,1.54
0736-3761,Journal of Consumer Marketing,Q1,0.967
0168-7034,Journal of Consumer Policy,Q2,0.598
1573-0700,Journal of Consumer Policy,Q2,0.598
1532-7663,Journal of Consumer Psychology,Q1,4.547
1057-7408,Journal of Consumer Psychology,Q1,4.547
0093-5301,Journal of Consumer Research,Q1,8.562
1537-5277,Journal of Consumer Research,Q1,8.562
0899-8620,"Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior",Q4,0.213
1815-5669,Journal of Contemporary Accounting and Economics,Q2,0.729
2212-1447,Journal of Contextual Behavioral Science,Q1,1.319
1468-5973,Journal of Contingencies and Crisis Management,Q2,0.658
0966-0879,Journal of Contingencies and Crisis Management,Q2,0.658
1547-0148,Journal of Convention and Event Tourism,Q2,0.528
1547-0156,Journal of Convention and Event Tourism,Q2,0.528
1097-0053,Journal of Corporate Accounting and Finance,Q2,0.335
1044-8136,Journal of Corporate Accounting and Finance,Q2,0.335
0929-1199,Journal of Corporate Finance,Q1,3.246
1463-001X,Journal of Corporate Real Estate,Q2,0.686
1479-1048,Journal of Corporate Real Estate,Q2,0.686
2394-9643,Journal of Creating Value,Q2,0.405
2454-213X,Journal of Creating Value,Q2,0.405
2044-1274,Journal of Cultural Heritage Management and Sustainable Development,Q1,0.398
2044-1266,Journal of Cultural Heritage Management and Sustainable Development,Q1,0.398
2056-8002,Journal of Cultural Marketing Strategy,Q4,0.142
2056-8010,Journal of Cultural Marketing Strategy,Q4,0.142
1064-1734,Journal of Current Issues and Research in Advertising,Q1,1.669
2164-7313,Journal of Current Issues and Research in Advertising,Q1,1.669
2398-1687,Journal of Data Protection and Privacy,Q3,0.175
2398-1679,Journal of Data Protection and Privacy,Q3,0.175
2524-6356,"Journal of Data, Information and Management",Q2,0.419
2524-6364,"Journal of Data, Information and Management",Q2,0.419
2116-7052,Journal of Decision Systems,Q1,0.761
1246-0125,Journal of Decision Systems,Q1,0.761
2055-2106,"Journal of Design, Business and Society",Q1,0.167
2055-2114,"Journal of Design, Business and Society",Q1,0.167
2212-571X,Journal of Destination Marketing and Management,Q1,2.26
1793-706X,Journal of Developmental Entrepreneurship,Q3,0.29
1084-9467,Journal of Developmental Entrepreneurship,Q3,0.29
2773-0670,Journal of Digital Economy,Q1,0.854
2050-0084,Journal of Digital and Social Media Marketing,Q4,0.152
2050-0076,Journal of Digital and Social Media Marketing,Q4,0.152
1738-3110,Journal of Distribution Science,Q4,0.183
2093-7717,Journal of Distribution Science,Q4,0.183
0949-6181,Journal of East European Management Studies,Q4,0.187
1862-0019,Journal of East European Management Studies,Q4,0.187
1066-9868,Journal of East-West Business,Q3,0.246
1528-6959,Journal of East-West Business,Q3,0.246
2328-8280,Journal of Eastern European and Central Asian Research (discontinued),-,
2328-8272,Journal of Eastern European and Central Asian Research (discontinued),-,
0167-2681,Journal of Economic Behavior and Organization,Q1,1.437
1308-7800,Journal of Economic Cooperation and Development,Q4,0.14
1569-1721,Journal of Economic Inequality,Q1,1.294
1573-8701,Journal of Economic Inequality,Q1,1.294
1860-711X,Journal of Economic Interaction and Coordination,Q3,0.295
1860-7128,Journal of Economic Interaction and Coordination,Q3,0.295
0021-3624,Journal of Economic Issues,Q3,0.371
1748-7889,Journal of Economic Policy Reform,Q1,0.793
1748-7870,Journal of Economic Policy Reform,Q1,0.793
2054-6238,Journal of Economic and Administrative Sciences,Q2,0.53
2054-6246,Journal of Economic and Administrative Sciences,Q2,0.53
0148-6195,Journal of Economics and Business,Q1,0.81
2632-5330,Journal of Economics and Development,Q1,0.998
1859-0020,Journal of Economics and Development,Q1,0.998
1732-1948,Journal of Economics and Management (Poland),Q4,0.159
2719-9975,Journal of Economics and Management (Poland),Q4,0.159
1530-9134,Journal of Economics and Management Strategy,Q1,1.081
